25
USA;10;15;17;11;12;16
Rusia;10;21;17;26;27;15
China;1;4;4;0;2;9
Colombia;2;3;6;0;2;9
Australia;5;7;9;8;6;3
Canada;3;6;5;4;3;7
Brasil;4;8;6;5;4;6
Alemania;6;9;8;7;8;4
Japon;8;10;11;9;10;12
Corea del Sur;7;12;10;10;9;8
Francia;9;11;12;12;11;13
Italia;11;14;13;13;12;11
España;12;13;14;14;13;10
Argentina;13;16;15;15;14;15
Mexico;14;17;16;16;15;14
Suecia;15;18;17;17;16;16
Noruega;16;19;18;18;17;17
Dinamarca;17;20;19;19;18;18
Holanda;18;22;20;20;19;19
Sui­za;19;23;21;21;20;20
Belgica;20;24;22;22;21;21
Austria;21;25;23;23;22;22
Portugal;22;26;24;24;23;23
Grecia;23;27;25;25;24;24
Chile;24;28;26;26;25;25
